Participant,Trial,Correct,Age,Language,AgentType,SentenceType
KKMAX037,Sem,0,68.93,Korean,SameAgent,DroppedSubject
KKMAX037,Larp,0,68.93,Korean,SameAgent,DroppedSubject
KKMAX038,Sem,1,63.84,Korean,DifferentAgent,OvertSubject
KKMAX038,Blick,1,63.84,Korean,DifferentAgent,OvertSubject
KKMAX038,Larp,1,63.84,Korean,DifferentAgent,OvertSubject
KKMAX039,Sem,1,69.82,Korean,DifferentAgent,OvertSubject
KKMAX039,Blick,1,69.82,Korean,DifferentAgent,OvertSubject
KKMAX039,Larp,1,69.82,Korean,DifferentAgent,OvertSubject
KKMAX040,Sem,1,61.14,Korean,DifferentAgent,OvertSubject
KKMAX040,Larp,1,61.14,Korean,DifferentAgent,OvertSubject
KKMAX041,Sem,0,64.89,Korean,DifferentAgent,DroppedSubject
KKMAX041,Blick,1,64.89,Korean,DifferentAgent,DroppedSubject
KKMAX041,Larp,1,64.89,Korean,DifferentAgent,DroppedSubject
KKMAX042,Sem,1,51.38,Korean,SameAgent,DroppedSubject
KKMAX042,Blick,1,51.38,Korean,SameAgent,DroppedSubject
KKMAX042,Larp,1,51.38,Korean,SameAgent,DroppedSubject
KKMAX043,Sem,1,56.77,Korean,SameAgent,DroppedSubject
KKMAX043,Blick,0,56.77,Korean,SameAgent,DroppedSubject
KKMAX043,Larp,0,56.77,Korean,SameAgent,DroppedSubject
KKMAX044,Sem,0,48.23,Korean,SameAgent,DroppedSubject
KKMAX044,Blick,1,48.23,Korean,SameAgent,DroppedSubject
KKMAX044,Larp,0,48.23,Korean,SameAgent,DroppedSubject
KKMAX046,Sem,1,69.85,Korean,DifferentAgent,OvertSubject
KKMAX046,Blick,0,69.85,Korean,DifferentAgent,OvertSubject
KKMAX046,Larp,1,69.85,Korean,DifferentAgent,OvertSubject
KKMAX047,Sem,0,51.71,Korean,SameAgent,DroppedSubject
KKMAX047,Blick,1,51.71,Korean,SameAgent,DroppedSubject
KKMAX047,Larp,1,51.71,Korean,SameAgent,DroppedSubject
KKMAX050,Sem,1,64,Korean,SameAgent,DroppedSubject
KKMAX050,Blick,1,64,Korean,SameAgent,DroppedSubject
KKMAX050,Larp,0,64,Korean,SameAgent,DroppedSubject
KKMAX051,Sem,1,55.85,Korean,DifferentAgent,DroppedSubject
KKMAX051,Blick,0,55.85,Korean,DifferentAgent,DroppedSubject
KKMAX051,Larp,1,55.85,Korean,DifferentAgent,DroppedSubject
KKMAX053,Sem,1,54.05,Korean,DifferentAgent,OvertSubject
KKMAX053,Blick,1,54.05,Korean,DifferentAgent,OvertSubject
KKMAX053,Larp,1,54.05,Korean,DifferentAgent,OvertSubject
KKMAX054,Sem,1,69.95,Korean,SameAgent,DroppedSubject
KKMAX054,Blick,0,69.95,Korean,SameAgent,DroppedSubject
KKMAX054,Larp,1,69.95,Korean,SameAgent,DroppedSubject
KKMAX056,Sem,1,69.72,Korean,DifferentAgent,OvertSubject
KKMAX056,Blick,1,69.72,Korean,DifferentAgent,OvertSubject
KKMAX056,Larp,1,69.72,Korean,DifferentAgent,OvertSubject
KKMAX057,Sem,1,70.05,Korean,DifferentAgent,OvertSubject
KKMAX057,Blick,1,70.05,Korean,DifferentAgent,OvertSubject
KKMAX057,Larp,1,70.05,Korean,DifferentAgent,OvertSubject
KKMAX058,Sem,1,64.3,Korean,DifferentAgent,DroppedSubject
KKMAX058,Larp,1,64.3,Korean,DifferentAgent,DroppedSubject
KKMAX060,Blick,0,70.93,Korean,DifferentAgent,OvertSubject
KKMAX060,Larp,1,70.93,Korean,DifferentAgent,OvertSubject
KKMAX061,Sem,1,49.35,Korean,DifferentAgent,DroppedSubject
KKMAX061,Blick,1,49.35,Korean,DifferentAgent,DroppedSubject
KKMAX061,Larp,1,49.35,Korean,DifferentAgent,DroppedSubject
KKMAX064,Sem,1,66.17,Korean,DifferentAgent,DroppedSubject
KKMAX064,Blick,1,66.17,Korean,DifferentAgent,DroppedSubject
KKMAX064,Larp,1,66.17,Korean,DifferentAgent,DroppedSubject
