Participant,Trial,Correct,Age,Language,AgentType,SentenceType,Experiment
EKMAX080,Sem,1,44.7,English,DifferentAgent,NA,experiment1
EKMAX080,Blick,1,44.7,English,DifferentAgent,NA,experiment1
EKMAX080,Larp,0,44.7,English,DifferentAgent,NA,experiment1
EKMAX081,Sem,0,37.9,English,DifferentAgent,NA,experiment1
EKMAX081,Blick,0,37.9,English,DifferentAgent,NA,experiment1
EKMAX082,Sem,1,33,English,DifferentAgent,NA,experiment1
EKMAX082,Blick,1,33,English,DifferentAgent,NA,experiment1
EKMAX082,Larp,1,33,English,DifferentAgent,NA,experiment1
EKMAX083,Sem,0,30.5,English,DifferentAgent,NA,experiment1
EKMAX083,Blick,1,30.5,English,DifferentAgent,NA,experiment1
EKMAX083,Larp,1,30.5,English,DifferentAgent,NA,experiment1
EKMAX084,Sem,1,36.9,English,SameAgent,NA,experiment1
EKMAX084,Blick,1,36.9,English,SameAgent,NA,experiment1
EKMAX084,Larp,1,36.9,English,SameAgent,NA,experiment1
EKMAX085,Sem,1,31.2,English,SameAgent,NA,experiment1
EKMAX085,Blick,1,31.2,English,SameAgent,NA,experiment1
EKMAX085,Larp,1,31.2,English,SameAgent,NA,experiment1
EKMAX087,Sem,1,31.1,English,SameAgent,NA,experiment1
EKMAX087,Blick,0,31.1,English,SameAgent,NA,experiment1
EKMAX087,Larp,1,31.1,English,SameAgent,NA,experiment1
EKMAX089,Sem,0,38,English,SameAgent,NA,experiment1
EKMAX089,Blick,1,38,English,SameAgent,NA,experiment1
EKMAX089,Larp,1,38,English,SameAgent,NA,experiment1
EKMAX090,Sem,1,34.9,English,DifferentAgent,NA,experiment1
EKMAX090,Blick,0,34.9,English,DifferentAgent,NA,experiment1
EKMAX090,Larp,0,34.9,English,DifferentAgent,NA,experiment1
EKMAX094,Sem,0,30.6,English,SameAgent,NA,experiment1
EKMAX094,Blick,1,30.6,English,SameAgent,NA,experiment1
EKMAX094,Larp,0,30.6,English,SameAgent,NA,experiment1
EKMAX095,Sem,0,43.2,English,SameAgent,NA,experiment1
EKMAX095,Blick,0,43.2,English,SameAgent,NA,experiment1
EKMAX095,Larp,1,43.2,English,SameAgent,NA,experiment1
EKMAX096,Sem,0,43.2,English,SameAgent,NA,experiment1
EKMAX096,Blick,1,43.2,English,SameAgent,NA,experiment1
EKMAX096,Larp,0,43.2,English,SameAgent,NA,experiment1
EKMAX099,Sem,0,31.7,English,SameAgent,NA,experiment1
EKMAX099,Blick,0,31.7,English,SameAgent,NA,experiment1
EKMAX099,Larp,0,31.7,English,SameAgent,NA,experiment1
EKMAX100,Sem,0,36.6,English,SameAgent,NA,experiment1
EKMAX100,Blick,1,36.6,English,SameAgent,NA,experiment1
EKMAX100,Larp,1,36.6,English,SameAgent,NA,experiment1
EKMAX103,Sem,1,44.3,English,DifferentAgent,NA,experiment1
EKMAX103,Blick,0,44.3,English,DifferentAgent,NA,experiment1
EKMAX103,Larp,1,44.3,English,DifferentAgent,NA,experiment1
EKMAX105,Sem,1,52,English,SameAgent,NA,experiment1
EKMAX105,Blick,0,52,English,SameAgent,NA,experiment1
EKMAX106,Sem,0,35,English,DifferentAgent,NA,experiment1
EKMAX106,Blick,1,35,English,DifferentAgent,NA,experiment1
EKMAX106,Larp,1,35,English,DifferentAgent,NA,experiment1
