Participant,Trial,Correct,Age,Language,AgentType,SentenceType,Experiment
KKMAX033,Blick,0,62.36,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX033,Larp,1,62.36,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX034,Sem,1,49.87,Korean,SameAgent,OvertSubject,experiment1
KKMAX034,Blick,1,49.87,Korean,SameAgent,OvertSubject,experiment1
KKMAX034,Larp,1,49.87,Korean,SameAgent,OvertSubject,experiment1
KKMAX035,Sem,0,63.11,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX035,Blick,1,63.11,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX035,Larp,0,63.11,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX036,Sem,0,57.46,Korean,SameAgent,DroppedSubject,experiment2
KKMAX036,Blick,1,57.46,Korean,SameAgent,DroppedSubject,experiment2
KKMAX036,Larp,1,57.46,Korean,SameAgent,DroppedSubject,experiment2
KKMAX037,Sem,0,68.93,Korean,SameAgent,DroppedSubject,experiment2
KKMAX037,Larp,0,68.93,Korean,SameAgent,DroppedSubject,experiment2
KKMAX038,Sem,1,63.84,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX038,Blick,1,63.84,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX038,Larp,1,63.84,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX039,Sem,1,69.82,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX039,Blick,1,69.82,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX039,Larp,1,69.82,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX040,Sem,1,61.14,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX040,Larp,1,61.14,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX041,Sem,0,64.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX041,Blick,1,64.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX041,Larp,1,64.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX042,Sem,1,51.38,Korean,SameAgent,DroppedSubject,experiment2
KKMAX042,Blick,1,51.38,Korean,SameAgent,DroppedSubject,experiment2
KKMAX042,Larp,1,51.38,Korean,SameAgent,DroppedSubject,experiment2
KKMAX043,Sem,1,56.77,Korean,SameAgent,DroppedSubject,experiment2
KKMAX043,Blick,0,56.77,Korean,SameAgent,DroppedSubject,experiment2
